SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	September 24, 2026	September 23, 2026	September 22, 2026	September 21, 2026	September 18, 2026
Chinese yuan	0.1096600000	0.1095110000	0.1093780000	0.1093890000	0.1094280000
Euro	0.8366160000	0.8381390000	0.8400340000	0.8416070000	0.8399080000
Japanese yen	0.0046594300				0.0046652100
U.K. pound	0.9736230000	0.9762620000	0.9793430000	0.9801530000	0.9791960000
U.S. dollar	0.7360040000	0.7345010000	0.7328220000	0.7324690000	0.7329040000
Algerian dinar	0.0055069200	0.0054958600	0.0054832800	0.0054807300	0.0054839900
Australian dollar	0.5175580000	0.5216430000	0.5219890000	0.5218110000	0.5222670000
Botswana pula	0.0553475000	0.0556017000	0.0554013000	0.0554479000	0.0554808000
Brazilian real	0.1421160000	0.1428770000	0.1432550000	0.1433090000	0.1421210000
Brunei dollar	0.5748680000	0.5755380000	0.5745370000	0.5742150000	0.5746010000
Canadian dollar	0.5206590000	0.5210710000	0.5210620000		
Chilean peso	0.0007671580	0.0007765350	0.0007697710	0.0007642460	
Czech koruna	0.0342886000	0.0343723000	0.0345020000	0.0345602000	0.0345091000
Danish krone	0.1119130000	0.1121170000	0.1123700000	0.1125820000	0.1123570000
Indian rupee	0.0076739100	0.0076725500	0.0076480700	0.0076458900	0.0076510700
Israeli New Shekel	0.2415500000	0.2434540000	0.2428980000		0.2420420000
Korean won		0.0005400740	0.0005293810	0.0005293170	0.0005309740
Kuwaiti dinar	2.3919500000	2.3886200000	2.3843200000	2.3831800000	
Malaysian ringgit	0.1802830000	0.1802460000	0.1798120000	0.1796590000	0.1797210000
Mauritian rupee	0.0151496000	0.0152309000	0.0152775000	0.0153088000	0.0152193000
Mexican peso	0.0417177000	0.0419643000	0.0423560000	0.0425352000	0.0424995000
New Zealand dollar	0.4175720000	0.4195100000	0.4176720000	0.4189360000	0.4193310000
Norwegian krone	0.0775394000	0.0776125000	0.0777736000	0.0778328000	0.0777007000
Omani rial	1.9141800000	1.9102800000	1.9059100000	1.9049900000	
Peruvian sol	0.2177530000	0.2188620000	0.2187530000	0.2183870000	0.2181260000
Philippine peso	0.0117537000	0.0117149000	0.0116693000	0.0116877000	0.0116732000
Polish zloty	0.1908230000	0.1924040000	0.1931830000	0.1931060000	0.1928800000
Qatari riyal	0.2021990000	0.2017860000	0.2013250000	0.2012280000	
Saudi Arabian riyal			0.1954190000	0.1953250000	
Singapore dollar	0.5748680000	0.5755380000	0.5745370000	0.5742150000	0.5746010000
Swedish krona	0.0742701000	0.0743558000	0.0746942000	0.0746436000	0.0743841000
Swiss franc	0.8895710000	0.8925650000	0.8952900000	0.8908210000	0.8881530000
Thai baht	0.0220189000	0.0221195000	0.0220358000	0.0220020000	0.0220277000
Trinidadian dollar		0.1082870000	0.1081240000		0.1083540000
U.A.E. dirham	0.2004100000	0.2000000000	0.1995430000	0.1994470000	
Uruguayan peso	0.0183022000	0.0183401000	0.0182968000		0.0182578000

Currency units per SDR(3)

Currency	September 24, 2026	September 23, 2026	September 22, 2026	September 21, 2026	September 18, 2026
Chinese yuan	9.119100	9.131500	9.142610	9.141690	9.138430
Euro	1.195290	1.193120	1.190430	1.188200	1.190610
Japanese yen	214.619000				214.353000
U.K. pound	1.027090	1.024320	1.021090	1.020250	1.021250
U.S. dollar	1.358690	1.361470	1.364590	1.365250	1.364440
Algerian dinar	181.590000	181.955000	182.373000	182.457000	182.349000
Australian dollar	1.932150	1.917020	1.915750	1.916400	1.914730
Botswana pula	18.067700	17.985100	18.050100	18.034900	18.024300
Brazilian real	7.036510	6.999030	6.980560	6.977930	7.036260
Brunei dollar	1.739530	1.737500	1.740530	1.741510	1.740340
Canadian dollar	1.920640	1.919120	1.919160		
Chilean peso	1,303.510000	1,287.770000	1,299.090000	1,308.480000	
Czech koruna	29.164200	29.093200	28.983800	28.935000	28.977900
Danish krone	8.935510	8.919250	8.899170	8.882410	8.900200
Indian rupee	130.312000	130.335000	130.752000	130.789000	130.701000
Israeli New Shekel	4.139930	4.107550	4.116950		4.131510
Korean won		1,851.600000	1,889.000000	1,889.230000	1,883.330000
Kuwaiti dinar	0.418069	0.418652	0.419407	0.419607	
Malaysian ringgit	5.546830	5.547970	5.561360	5.566100	5.564180
Mauritian rupee	66.008300	65.656000	65.455700	65.321900	65.706000
Mexican peso	23.970600	23.829800	23.609400	23.509900	23.529700
New Zealand dollar	2.394800	2.383730	2.394220	2.387000	2.384750
Norwegian krone	12.896700	12.884500	12.857800	12.848100	12.869900
Omani rial	0.522417	0.523483	0.524684	0.524937	
Peruvian sol	4.592360	4.569090	4.571370	4.579030	4.584510
Philippine peso	85.079600	85.361400	85.694900	85.560000	85.666300
Polish zloty	5.240460	5.197400	5.176440	5.178500	5.184570
Qatari riyal	4.945620	4.955750	4.967090	4.969490	
Saudi Arabian riyal			5.117210	5.119670	
Singapore dollar	1.739530	1.737500	1.740530	1.741510	1.740340
Swedish krona	13.464400	13.448800	13.387900	13.397000	13.443700
Swiss franc	1.124140	1.120370	1.116960	1.122560	1.125930
Thai baht	45.415500	45.209000	45.380700	45.450400	45.397400
Trinidadian dollar		9.234720	9.248640		9.229010
U.A.E. dirham	4.989770	5.000000	5.011450	5.013860	
Uruguayan peso	54.638200	54.525300	54.654400		54.771100


(1) Exchange rates are published daily except on IMF holidays or, whenever the IMF is closed for business, or on an ad-hoc basis to facilitate unscheduled IMF operations.

